league,season,team,player,standard_nation,standard_pos,standard_age,standard_born,standard_Playing Time_MP,standard_Playing Time_Starts,standard_Playing Time_Min,standard_Playing Time_90s,standard_Performance_Gls,standard_Performance_Ast,standard_Performance_G+A,standard_Performance_G-PK,standard_Performance_PK,standard_Performance_PKatt,standard_Performance_CrdY,standard_Performance_CrdR,standard_Per 90 Minutes_Gls,standard_Per 90 Minutes_Ast,standard_Per 90 Minutes_G+A,standard_Per 90 Minutes_G-PK,standard_Per 90 Minutes_G+A-PK,shooting_nation,shooting_pos,shooting_age,shooting_born,shooting_90s,shooting_Standard_Gls,shooting_Standard_Sh,shooting_Standard_SoT,shooting_Standard_SoT%,shooting_Standard_Sh/90,shooting_Standard_SoT/90,shooting_Standard_G/Sh,shooting_Standard_G/SoT,shooting_Standard_PK,shooting_Standard_PKatt,misc_nation,misc_pos,misc_age,misc_born,misc_90s,misc_Performance_CrdY,misc_Performance_CrdR,misc_Performance_2CrdY,misc_Performance_Fls,misc_Performance_Fld,misc_Performance_Off,misc_Performance_Crs,misc_Performance_Int,misc_Performance_TklW,misc_Performance_PKwon,misc_Performance_PKcon,misc_Performance_OG
ENG-Premier League,2425,Arsenal,Bukayo Saka,ENG,"FW,MF",22,2001,25,20,1729,19.2,6,10,16,5,1,1,3,0,0.31,0.52,0.83,0.26,0.78,ENG,"FW,MF",22,2001,19.2,6,67,23,34.3,3.49,1.2,0.07,0.22,1,1,ENG,"FW,MF",22,2001,19.2,3,0,0,15,39,7,115,3,15,,,0
ENG-Premier League,2425,Arsenal,Ethan Nwaneri,ENG,"FW,MF",17,2007,26,11,895,9.9,4,2,6,4,0,0,1,0,0.4,0.2,0.6,0.4,0.6,ENG,"FW,MF",17,2007,9.9,4,24,9,37.5,2.41,0.91,0.17,0.44,0,0,ENG,"FW,MF",17,2007,9.9,1,0,0,10,5,6,54,3,6,,,0
ENG-Premier League,2425,Arsenal,Gabriel Jesus,BRA,FW,27,1997,17,6,608,6.8,3,0,3,3,0,0,4,0,0.44,0.0,0.44,0.44,0.44,BRA,FW,27,1997,6.8,3,20,8,40.0,2.96,1.18,0.15,0.38,0,0,BRA,FW,27,1997,6.8,4,0,0,14,10,9,6,5,6,,,0
ENG-Premier League,2425,Arsenal,Gabriel Martinelli,BRA,"FW,MF",23,2001,33,25,2290,25.4,8,4,12,8,0,0,1,0,0.31,0.16,0.47,0.31,0.47,BRA,"FW,MF",23,2001,25.4,8,56,25,44.6,2.2,0.98,0.14,0.32,0,0,BRA,"FW,MF",23,2001,25.4,1,0,0,16,21,8,90,4,15,,,0
ENG-Premier League,2425,Arsenal,Kai Havertz,GER,FW,25,1999,23,21,1875,20.8,9,3,12,9,0,0,5,0,0.43,0.14,0.58,0.43,0.58,GER,FW,25,1999,20.8,9,53,21,39.6,2.54,1.01,0.17,0.43,0,0,GER,FW,25,1999,20.8,5,0,0,38,23,14,11,5,8,,,0
ENG-Premier League,2425,Arsenal,Leandro Trossard,BEL,FW,29,1994,38,28,2546,28.3,8,7,15,8,0,0,4,1,0.28,0.25,0.53,0.28,0.53,BEL,FW,29,1994,28.3,8,72,22,30.6,2.55,0.78,0.11,0.36,0,0,BEL,FW,29,1994,28.3,4,1,1,27,46,6,80,10,18,,,0
ENG-Premier League,2425,Arsenal,Mikel Merino,ESP,"MF,FW",28,1996,28,17,1586,17.6,7,2,9,7,0,0,4,1,0.4,0.11,0.51,0.4,0.51,ESP,"MF,FW",28,1996,17.6,7,38,15,39.5,2.16,0.85,0.18,0.47,0,0,ESP,"MF,FW",28,1996,17.6,4,1,1,41,23,7,12,16,28,,,0
ENG-Premier League,2425,Arsenal,Nathan Butler-Oyedeji,ENG,FW,21,2003,1,0,7,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,ENG,FW,21,2003,0.1,0,1,1,100.0,12.86,12.86,0.0,0.0,0,0,ENG,FW,21,2003,0.1,0,0,0,0,0,0,0,0,0,,,0
ENG-Premier League,2425,Arsenal,Raheem Sterling,ENG,"FW,MF",29,1994,17,7,499,5.5,0,2,2,0,0,0,1,0,0.0,0.36,0.36,0.0,0.36,ENG,"FW,MF",29,1994,5.5,0,11,0,0.0,1.98,0.0,0.0,,0,0,ENG,"FW,MF",29,1994,5.5,1,0,0,12,8,4,16,1,4,,,0
ENG-Premier League,2425,Arsenal,Reiss Nelson,ENG,"FW,MF",24,1999,1,0,3,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,ENG,"FW,MF",24,1999,0.0,0,0,0,,0.0,0.0,,,0,0,ENG,"FW,MF",24,1999,0.0,0,0,0,1,1,0,0,0,1,,,0
